text,label
Your monthly bank statement is now available in your official banking application. You can review your recent transactions there.,0
Your salary has been credited successfully to your bank account. The transaction was completed today.,0
Your credit card statement is ready. The amount due and payment date are available in your account.,0
Your order has been shipped successfully. You can track the delivery from your order history.,0
Your refund has been processed successfully and will be credited to your original payment method.,0
"Your security notification confirms that a new device was added to your account. If you recognize it, no action is required.",0
"Your password was successfully changed. If you made this change, no further action is required.",0
Your KYC verification has been completed successfully. No further action is required.,0
Your electricity bill is available in your account. Please review the amount and payment due date.,0
Your payment was successfully received. Thank you for completing the transaction.,0
Your bank account statement for this month is available for review.,0
Your online order has been confirmed and is being prepared for delivery.,0
Your credit card payment has been received successfully.,0
Your account security settings were updated successfully.,0
Your appointment has been confirmed for tomorrow at 10 AM.,0
URGENT: Your bank account will be suspended today. Click the link immediately to verify your identity.,1
Your bank security has detected suspicious activity. Enter your password and OTP immediately to restore access.,1
"Your credit card has been blocked. Confirm your card number, CVV and OTP to reactivate it.",1
Your transaction failed. Click this link and provide your banking credentials to receive a refund.,1
Your parcel is waiting for delivery. Pay a small fee using the link below to release it.,1
Your password expires today. Click the link and enter your current password to prevent account suspension.,1
"Your KYC has expired. Submit your PAN, account number and OTP immediately to avoid account closure.",1
Congratulations! You have won a cash prize. Provide your bank details to claim the reward.,1
Your refund is pending. Click the link and enter your card details to receive the money.,1
"Security alert: verify your account immediately by entering your username, password and OTP.",1
Your bank account has been locked. Confirm your identity using the link below within 24 hours.,1
Your order cannot be delivered until you complete payment through the attached link.,1
Your account has unusual activity. Login through this link and verify your credentials immediately.,1
Your credit card reward is expiring. Click here and enter your card details to claim it.,1
URGENT: Complete your account verification now or your banking services will be permanently disabled.,1
